File,Line,Message
/Users/nikhil/Programming/GitHub/grpc/src/core/call/request_buffer.h,39,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/call/request_buffer.h,43,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/call/request_buffer.h,68,Found ')' without opening '(' for trailing return type ' -> mu_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,121,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,151,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,154,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,165,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,167,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,255,Found ')' without opening '(' for trailing return type ' -> client_channel_->work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,427,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,448,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,467,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel.cc,501,Found ')' without opening '(' for trailing return type ' -> work_serializer_)...'
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel_filter.cc,124,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel_filter.cc,129,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel_filter.cc,163,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel_filter.cc,167,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
/Users/nikhil/Programming/GitHub/grpc/src/core/client_channel/client_channel_filter.cc,255,Found ';' while parsing initializer list! (doxygen could be confused by a macro call without semicolon)
